                               Labor Force Data by County, 2021 Annual Averages

                 State  County
                 FIPS   FIPS                                                                  Labor                     Unemployed
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN0503900000000   05     039   Dallas County, AR                                 2021         2,770        2,657        113      4.1
CN0504100000000   05     041   Desha County, AR                                  2021         4,963        4,670        293      5.9
CN0504300000000   05     043   Drew County, AR                                   2021         7,522        7,145        377      5.0
CN0504500000000   05     045   Faulkner County, AR                               2021        61,033       58,910      2,123      3.5
CN0504700000000   05     047   Franklin County, AR                               2021         7,267        6,999        268      3.7
CN0504900000000   05     049   Fulton County, AR                                 2021         4,889        4,711        178      3.6
CN0505100000000   05     051   Garland County, AR                                2021        40,528       38,500      2,028      5.0
CN0505300000000   05     053   Grant County, AR                                  2021         8,146        7,886        260      3.2
CN0505500000000   05     055   Greene County, AR                                 2021        19,318       18,655        663      3.4
CN0505700000000   05     057   Hempstead County, AR                              2021         9,182        8,862        320      3.5
CN0505900000000   05     059   Hot Spring County, AR                             2021        13,797       13,264        533      3.9
CN0506100000000   05     061   Howard County, AR                                 2021         5,455        5,278        177      3.2
CN0506300000000   05     063   Independence County, AR                           2021        16,368       15,734        634      3.9
CN0506500000000   05     065   Izard County, AR                                  2021         4,382        4,146        236      5.4
CN0506700000000   05     067   Jackson County, AR                                2021         5,637        5,343        294      5.2
CN0506900000000   05     069   Jefferson County, AR                              2021        26,128       24,413      1,715      6.6
CN0507100000000   05     071   Johnson County, AR                                2021         9,835        9,373        462      4.7
CN0507300000000   05     073   Lafayette County, AR                              2021         2,327        2,192        135      5.8
CN0507500000000   05     075   Lawrence County, AR                               2021         6,700        6,414        286      4.3
CN0507700000000   05     077   Lee County, AR                                    2021         2,554        2,411        143      5.6
CN0507900000000   05     079   Lincoln County, AR                                2021         3,729        3,558        171      4.6
CN0508100000000   05     081   Little River County, AR                           2021         5,250        5,015        235      4.5
CN0508300000000   05     083   Logan County, AR                                  2021         8,383        8,033        350      4.2
CN0508500000000   05     085   Lonoke County, AR                                 2021        33,141       32,034      1,107      3.3
CN0508700000000   05     087   Madison County, AR                                2021         7,373        7,142        231      3.1
CN0508900000000   05     089   Marion County, AR                                 2021         6,089        5,829        260      4.3
CN0509100000000   05     091   Miller County, AR                                 2021        18,987       18,074        913      4.8
CN0509300000000   05     093   Mississippi County, AR                            2021        16,310       15,141      1,169      7.2
CN0509500000000   05     095   Monroe County, AR                                 2021         2,621        2,482        139      5.3
CN0509700000000   05     097   Montgomery County, AR                             2021         2,876        2,737        139      4.8
CN0509900000000   05     099   Nevada County, AR                                 2021         3,373        3,237        136      4.0
CN0510100000000   05     101   Newton County, AR                                 2021         3,182        3,085         97      3.0
CN0510300000000   05     103   Ouachita County, AR                               2021         9,716        9,340        376      3.9
CN0510500000000   05     105   Perry County, AR                                  2021         4,092        3,924        168      4.1
CN0510700000000   05     107   Phillips County, AR                               2021         5,865        5,412        453      7.7
CN0510900000000   05     109   Pike County, AR                                   2021         4,183        3,999        184      4.4
CN0511100000000   05     111   Poinsett County, AR                               2021         9,676        9,299        377      3.9
CN0511300000000   05     113   Polk County, AR                                   2021         7,771        7,428        343      4.4
CN0511500000000   05     115   Pope County, AR                                   2021        27,266       26,186      1,080      4.0
CN0511700000000   05     117   Prairie County, AR                                2021         3,527        3,397        130      3.7
CN0511900000000   05     119   Pulaski County, AR                                2021       184,896      175,806      9,090      4.9
CN0512100000000   05     121   Randolph County, AR                               2021         7,313        7,025        288      3.9
CN0512300000000   05     123   St. Francis County, AR                            2021         7,675        7,201        474      6.2
CN0512500000000   05     125   Saline County, AR                                 2021        57,900       56,082      1,818      3.1
CN0512700000000   05     127   Scott County, AR                                  2021         4,216        4,076        140      3.3
CN0512900000000   05     129   Searcy County, AR                                 2021         2,920        2,796        124      4.2
CN0513100000000   05     131   Sebastian County, AR                              2021        54,294       52,275      2,019      3.7
CN0513300000000   05     133   Sevier County, AR                                 2021         5,368        5,132        236      4.4
CN0513500000000   05     135   Sharp County, AR                                  2021         5,630        5,353        277      4.9
CN0513700000000   05     137   Stone County, AR                                  2021         4,531        4,303        228      5.0
CN0513900000000   05     139   Union County, AR                                  2021        15,025       14,114        911      6.1
CN0514100000000   05     141   Van Buren County, AR                              2021         5,803        5,521        282      4.9
CN0514300000000   05     143   Washington County, AR                             2021       125,728      122,052      3,676      2.9
CN0514500000000   05     145   White County, AR                                  2021        33,712       32,361      1,351      4.0
CN0514700000000   05     147   Woodruff County, AR                               2021         2,790        2,651        139      5.0
CN0514900000000   05     149   Yell County, AR                                   2021         7,831        7,520        311      4.0
CN0600100000000   06     001   Alameda County, CA                                2021       809,964      760,859     49,105      6.1
CN0600300000000   06     003   Alpine County, CA                                 2021           519          477         42      8.1
CN0600500000000   06     005   Amador County, CA                                 2021        14,342       13,345        997      7.0
CN0600700000000   06     007   Butte County, CA                                  2021        92,031       85,720      6,311      6.9
CN0600900000000   06     009   Calaveras County, CA                              2021        21,402       20,177      1,225      5.7
CN0601100000000   06     011   Colusa County, CA                                 2021        10,740        9,398      1,342     12.5
CN0601300000000   06     013   Contra Costa County, CA                           2021       542,352      507,874     34,478      6.4
CN0601500000000   06     015   Del Norte County, CA                              2021         9,314        8,606        708      7.6
CN0601700000000   06     017   El Dorado County, CA                              2021        91,142       85,910      5,232      5.7
CN0601900000000   06     019   Fresno County, CA                                 2021       443,383      402,642     40,741      9.2
CN0602100000000   06     021   Glenn County, CA                                  2021        12,616       11,740        876      6.9
CN0602300000000   06     023   Humboldt County, CA                               2021        58,714       55,053      3,661      6.2
CN0602500000000   06     025   Imperial County, CA                               2021        69,075       57,094     11,981     17.3
CN0602700000000   06     027   Inyo County, CA                                   2021         8,229        7,745        484      5.9
CN0602900000000   06     029   Kern County, CA                                   2021       383,987      345,432     38,555     10.0
CN0603100000000   06     031   Kings County, CA                                  2021        55,930       50,544      5,386      9.6
CN0603300000000   06     033   Lake County, CA                                   2021        28,371       26,211      2,160      7.6
CN0603500000000   06     035   Lassen County, CA                                 2021         9,159        8,615        544      5.9
CN0603700000000   06     037   Los Angeles County, CA                            2021     4,994,057    4,548,852    445,205      8.9
CN0603900000000   06     039   Madera County, CA                                 2021        61,944       56,468      5,476      8.8
CN0604100000000   06     041   Marin County, CA                                  2021       128,920      123,172      5,748      4.5
CN0604300000000   06     043   Mariposa County, CA                               2021         7,014        6,456        558      8.0
CN0604500000000   06     045   Mendocino County, CA                              2021        36,920       34,622      2,298      6.2
CN0604700000000   06     047   Merced County, CA                                 2021       115,158      103,223     11,935     10.4
CN0604900000000   06     049   Modoc County, CA                                  2021         3,187        2,962        225      7.1
CN0605100000000   06     051   Mono County, CA                                   2021         8,340        7,771        569      6.8
CN0605300000000   06     053   Monterey County, CA                               2021       211,858      194,310     17,548      8.3
CN0605500000000   06     055   Napa County, CA                                   2021        68,437       64,305      4,132      6.0
CN0605700000000   06     057   Nevada County, CA                                 2021        47,089       44,459      2,630      5.6
CN0605900000000   06     059   Orange County, CA                                 2021     1,553,897    1,461,154     92,743      6.0
CN0606100000000   06     061   Placer County, CA                                 2021       188,045      178,657      9,388      5.0
CN0606300000000   06     063   Plumas County, CA                                 2021         7,382        6,682        700      9.5
CN0606500000000   06     065   Riverside County, CA                              2021     1,129,562    1,046,723     82,839      7.3
CN0606700000000   06     067   Sacramento County, CA                             2021       714,032      664,353     49,679      7.0
CN0606900000000   06     069   San Benito County, CA                             2021        31,976       29,658      2,318      7.2
CN0607100000000   06     071   San Bernardino County, CA                         2021       988,604      915,089     73,515      7.4
CN0607300000000   06     073   San Diego County, CA                              2021     1,543,678    1,443,815     99,863      6.5
CN0607500000000   06     075   San Francisco County/city, CA                     2021       545,953      518,434     27,519      5.0
CN0607700000000   06     077   San Joaquin County, CA                            2021       334,250      305,278     28,972      8.7
CN0607900000000   06     079   San Luis Obispo County, CA                        2021       135,268      128,186      7,082      5.2
CN0608100000000   06     081   San Mateo County, CA                              2021       431,205      411,484     19,721      4.6
CN0608300000000   06     083   Santa Barbara County, CA                          2021       217,988      205,423     12,565      5.8
CN0608500000000   06     085   Santa Clara County, CA                            2021     1,013,614      966,009     47,605      4.7
CN0608700000000   06     087   Santa Cruz County, CA                             2021       133,351      124,166      9,185      6.9
CN0608900000000   06     089   Shasta County, CA                                 2021        72,809       67,834      4,975      6.8
CN0609100000000   06     091   Sierra County, CA                                 2021         1,304        1,226         78      6.0
CN0609300000000   06     093   Siskiyou County, CA                               2021        16,561       15,222      1,339      8.1
CN0609500000000   06     095   Solano County, CA                                 2021       199,365      184,505     14,860      7.5
CN0609700000000   06     097   Sonoma County, CA                                 2021       242,752      229,439     13,313      5.5
CN0609900000000   06     099   Stanislaus County, CA                             2021       239,538      219,496     20,042      8.4
CN0610100000000   06     101   Sutter County, CA                                 2021        45,214       41,145      4,069      9.0
CN0610300000000   06     103   Tehama County, CA                                 2021        25,443       23,617      1,826      7.2
CN0610500000000   06     105   Trinity County, CA                                2021         4,475        4,193        282      6.3
CN0610700000000   06     107   Tulare County, CA                                 2021       200,896      179,461     21,435     10.7
CN0610900000000   06     109   Tuolumne County, CA                               2021        20,042       18,586      1,456      7.3
CN0611100000000   06     111   Ventura County, CA                                2021       404,923      379,995     24,928      6.2
CN0611300000000   06     113   Yolo County, CA                                   2021       106,122       99,926      6,196      5.8
CN0611500000000   06     115   Yuba County, CA                                   2021        30,752       28,148      2,604      8.5
CN0800100000000   08     001   Adams County, CO                                  2021       276,299      259,081     17,218      6.2
CN0800300000000   08     003   Alamosa County, CO                                2021         8,533        8,062        471      5.5
CN0800500000000   08     005   Arapahoe County, CO                               2021       367,171      345,949     21,222      5.8
CN0800700000000   08     007   Archuleta County, CO                              2021         7,300        6,943        357      4.9
CN0800900000000   08     009   Baca County, CO                                   2021         2,118        2,073         45      2.1
CN0801100000000   08     011   Bent County, CO                                   2021         1,886        1,771        115      6.1
CN0801300000000   08     013   Boulder County, CO                                2021       195,616      187,094      8,522      4.4
CN0801400000000   08     014   Broomfield County/city, CO                        2021        41,167       39,319      1,848      4.5
CN0801500000000   08     015   Chaffee County, CO                                2021        10,248        9,835        413      4.0
CN0801700000000   08     017   Cheyenne County, CO                               2021         1,105        1,080         25      2.3
CN0801900000000   08     019   Clear Creek County, CO                            2021         6,023        5,689        334      5.5
CN0802100000000   08     021   Conejos County, CO                                2021         4,102        3,906        196      4.8
CN0802300000000   08     023   Costilla County, CO                               2021         1,885        1,771        114      6.0
CN0802500000000   08     025   Crowley County, CO                                2021         1,465        1,389         76      5.2
CN0802700000000   08     027   Custer County, CO                                 2021         2,325        2,232         93      4.0
CN0802900000000   08     029   Delta County, CO                                  2021        14,360       13,599        761      5.3
CN0803100000000   08     031   Denver County/city, CO                            2021       427,421      402,123     25,298      5.9
CN0803300000000   08     033   Dolores County, CO                                2021         1,176        1,121         55      4.7
CN0803500000000   08     035   Douglas County, CO                                2021       200,746      192,563      8,183      4.1
CN0803700000000   08     037   Eagle County, CO                                  2021        36,813       35,177      1,636      4.4
CN0803900000000   08     039   Elbert County, CO                                 2021        15,468       14,881        587      3.8
CN0804100000000   08     041   El Paso County, CO                                2021       350,677      330,916     19,761      5.6
CN0804300000000   08     043   Fremont County, CO                                2021        15,860       14,764      1,096      6.9
CN0804500000000   08     045   Garfield County, CO                               2021        32,254       30,749      1,505      4.7
CN0804700000000   08     047   Gilpin County, CO                                 2021         3,880        3,641        239      6.2
CN0804900000000   08     049   Grand County, CO                                  2021         9,718        9,309        409      4.2
CN0805100000000   08     051   Gunnison County, CO                               2021        11,837       11,402        435      3.7
CN0805300000000   08     053   Hinsdale County, CO                               2021           450          434         16      3.6
CN0805500000000   08     055   Huerfano County, CO                               2021         2,645        2,428        217      8.2
CN0805700000000   08     057   Jackson County, CO                                2021           988          955         33      3.3
CN0805900000000   08     059   Jefferson County, CO                              2021       334,051      317,284     16,767      5.0
CN0806100000000   08     061   Kiowa County, CO                                  2021           957          925         32      3.3
CN0806300000000   08     063   Kit Carson County, CO                             2021         4,261        4,135        126      3.0
CN0806500000000   08     065   Lake County, CO                                   2021         4,974        4,756        218      4.4
CN0806700000000   08     067   La Plata County, CO                               2021        31,905       30,248      1,657      5.2
CN0806900000000   08     069   Larimer County, CO                                2021       206,492      196,875      9,617      4.7
CN0807100000000   08     071   Las Animas County, CO                             2021         6,513        6,087        426      6.5
CN0807300000000   08     073   Lincoln County, CO                                2021         2,364        2,265         99      4.2
CN0807500000000   08     075   Logan County, CO                                  2021        10,985       10,505        480      4.4
CN0807700000000   08     077   Mesa County, CO                                   2021        77,219       72,798      4,421      5.7
CN0807900000000   08     079   Mineral County, CO                                2021           463          440         23      5.0
CN0808100000000   08     081   Moffat County, CO                                 2021         7,286        6,939        347      4.8
CN0808300000000   08     083   Montezuma County, CO                              2021        13,215       12,480        735      5.6
CN0808500000000   08     085   Montrose County, CO                               2021        22,392       21,270      1,122      5.0
CN0808700000000   08     087   Morgan County, CO                                 2021        16,212       15,419        793      4.9
CN0808900000000   08     089   Otero County, CO                                  2021         8,366        7,854        512      6.1
CN0809100000000   08     091   Ouray County, CO                                  2021         2,708        2,586        122      4.5
CN0809300000000   08     093   Park County, CO                                   2021        11,273       10,810        463      4.1
CN0809500000000   08     095   Phillips County, CO                               2021         2,490        2,419         71      2.9
CN0809700000000   08     097   Pitkin County, CO                                 2021        11,127       10,514        613      5.5
CN0809900000000   08     099   Prowers County, CO                                2021         6,265        5,981        284      4.5
CN0810100000000   08     101   Pueblo County, CO                                 2021        77,498       71,347      6,151      7.9
CN0810300000000   08     103   Rio Blanco County, CO                             2021         2,931        2,769        162      5.5
CN0810500000000   08     105   Rio Grande County, CO                             2021         5,529        5,169        360      6.5
CN0810700000000   08     107   Routt County, CO                                  2021        16,024       15,343        681      4.2
CN0810900000000   08     109   Saguache County, CO                               2021         3,496        3,290        206      5.9
CN0811100000000   08     111   San Juan County, CO                               2021           608          587         21      3.5
CN0811300000000   08     113   San Miguel County, CO                             2021         5,836        5,542        294      5.0
CN0811500000000   08     115   Sedgwick County, CO                               2021         1,185        1,141         44      3.7
CN0811700000000   08     117   Summit County, CO                                 2021        22,727       21,818        909      4.0
CN0811900000000   08     119   Teller County, CO                                 2021        13,074       12,429        645      4.9
CN0812100000000   08     121   Washington County, CO                             2021         2,828        2,738         90      3.2
CN0812300000000   08     123   Weld County, CO                                   2021       165,660      156,182      9,478      5.7
CN0812500000000   08     125   Yuma County, CO                                   2021         5,668        5,513        155      2.7
CN0900100000000   09     001   Fairfield County, CT                              2021       465,448      437,051     28,397      6.1
CN0900300000000   09     003   Hartford County, CT                               2021       468,861      438,180     30,681      6.5
CN0900500000000   09     005   Litchfield County, CT                             2021       101,537       95,963      5,574      5.5
CN0900700000000   09     007   Middlesex County, CT                              2021        91,071       86,362      4,709      5.2
CN0900900000000   09     009   New Haven County, CT                              2021       453,791      424,057     29,734      6.6
CN0901100000000   09     011   New London County, CT                             2021       129,504      120,631      8,873      6.9
CN0901300000000   09     013   Tolland County, CT                                2021        83,876       79,597      4,279      5.1
CN0901500000000   09     015   Windham County, CT                                2021        61,835       57,975      3,860      6.2
CN1000100000000   10     001   Kent County, DE                                   2021        81,389       76,320      5,069      6.2
CN1000300000000   10     003   New Castle County, DE                             2021       303,427      287,298     16,129      5.3
CN1000500000000   10     005   Sussex County, DE                                 2021       111,615      106,257      5,358      4.8
CN1100100000000   11     001   District of Columbia                              2021       381,673      356,578     25,095      6.6
CN1200100000000   12     001   Alachua County, FL                                2021       138,458      133,316      5,142      3.7
CN1200300000000   12     003   Baker County, FL                                  2021        12,089       11,640        449      3.7
CN1200500000000   12     005   Bay County, FL                                    2021        85,937       82,604      3,333      3.9
CN1200700000000   12     007   Bradford County, FL                               2021        10,791       10,343        448      4.2
CN1200900000000   12     009   Brevard County, FL                                2021       289,653      277,951     11,702      4.0
CN1201100000000   12     011   Broward County, FL                                2021     1,029,454      979,064     50,390      4.9
CN1201300000000   12     013   Calhoun County, FL                                2021         4,866        4,648        218      4.5
CN1201500000000   12     015   Charlotte County, FL                              2021        73,248       70,060      3,188      4.4
CN1201700000000   12     017   Citrus County, FL                                 2021        47,343       44,656      2,687      5.7
CN1201900000000   12     019   Clay County, FL                                   2021       107,819      104,015      3,804      3.5
CN1202100000000   12     021   Collier County, FL                                2021       180,891      174,274      6,617      3.7
CN1202300000000   12     023   Columbia County, FL                               2021        29,220       27,896      1,324      4.5
CN1202700000000   12     027   DeSoto County, FL                                 2021        14,631       14,070        561      3.8
CN1202900000000   12     029   Dixie County, FL                                  2021         5,910        5,653        257      4.3
CN1203100000000   12     031   Duval County, FL                                  2021       492,463      470,506     21,957      4.5
CN1203300000000   12     033   Escambia County, FL                               2021       146,033      139,420      6,613      4.5
CN1203500000000   12     035   Flagler County, FL                                2021        48,309       46,067      2,242      4.6
